TQC3H5OHTO2      2 4.960000E+02 5.200000E+00 0.000000E+00 0.000000E+00 1.000000E+00
OHCOCOOHCH3      2 5.022000E+02 5.356000E+00 1.800000E+00 0.000000E+00 1.000000E+00
HO2CH2CHO        2 2.750490E+02 5.428000E+00 0.000000E+00 0.000000E+00 1.000000E+00
CJCYCCO          2 4.110000E+02 4.820000E+00 0.000000E+00 0.000000E+00 1.000000E+00
CCYCCJO          2 4.110000E+02 4.820000E+00 0.000000E+00 0.000000E+00 1.000000E+00
CH3OCHCH2        2 4.595000E+02 5.036000E+00 1.700000E+00 0.000000E+00 1.000000E+00
NC3H7OH          2 4.815000E+02 4.997000E+00 1.700000E+00 0.000000E+00 1.000000E+00
C3H6OH1-1        2 4.879000E+02 4.820000E+00 0.000000E+00 0.000000E+00 1.000000E+00
C3H6OH1-2        2 4.879000E+02 4.820000E+00 0.000000E+00 0.000000E+00 1.000000E+00
C3H6OH1-3        2 4.879000E+02 4.820000E+00 0.000000E+00 0.000000E+00 1.000000E+00
NC3H7O           2 4.879000E+02 4.820000E+00 0.000000E+00 0.000000E+00 1.000000E+00
C3H5OH           2 4.595000E+02 5.036000E+00 1.700000E+00 0.000000E+00 1.000000E+00
SC3H5OH          2 4.595000E+02 5.036000E+00 1.700000E+00 0.000000E+00 1.000000E+00
CH2CCH2OH        2 4.110000E+02 4.820000E+00 0.000000E+00 0.000000E+00 1.000000E+00
IC3H7OH          2 4.815000E+02 4.997000E+00 1.700000E+00 0.000000E+00 1.000000E+00
C3H6OH2-1        2 4.879000E+02 4.820000E+00 0.000000E+00 0.000000E+00 1.000000E+00
TC3H6OH          2 4.879000E+02 4.820000E+00 0.000000E+00 0.000000E+00 1.000000E+00
IC3H7O           2 4.879000E+02 4.820000E+00 0.000000E+00 0.000000E+00 1.000000E+00
IC3H5OH          2 4.595000E+02 5.036000E+00 1.700000E+00 0.000000E+00 1.000000E+00
CH3COCH2O2       2 9.739500E+02 6.530000E+00 0.000000E+00 0.000000E+00 0.000000E+00
CH3COCH2O        2 8.398000E+02 5.840000E+00 0.000000E+00 0.000000E+00 0.000000E+00
C3KET21          2 4.642000E+02 5.009000E+00 2.600000E+00 0.000000E+00 1.000000E+00
CH3COCH3         2 4.595000E+02 5.036000E+00 1.700000E+00 0.000000E+00 1.000000E+00
CH3COCH2         2 4.173000E+02 4.800000E+00 0.000000E+00 0.000000E+00 1.000000E+00
C2H3CHO          2 3.197170E+02 4.854000E+00 0.000000E+00 6.100000E+00 1.000000E+00
C2H3CO           2 7.495960E+02 5.140000E+00 0.000000E+00 0.000000E+00 0.000000E+00
QCH3CHCO3H       2 9.739500E+02 6.530000E+00 0.000000E+00 0.000000E+00 0.000000E+00
CH3CHCOO         2 9.208030E+02 6.250000E+00 0.000000E+00 0.000000E+00 0.000000E+00
QCH2CH2CO3H      2 9.739500E+02 6.530000E+00 0.000000E+00 0.000000E+00 0.000000E+00
CCH2COOCH2       2 9.208030E+02 6.250000E+00 0.000000E+00 0.000000E+00 0.000000E+00
